show_id,rating
NEs1,PG-13
NEs2,TV-MA
NEs3,TV-MA
NEs4,TV-MA
NEs5,TV-MA
NEs6,TV-MA
NEs7,PG
NEs8,TV-MA
NEs9,TV-14
NEs10,PG-13
NEs11,TV-MA
NEs12,TV-MA
NEs13,TV-MA
NEs14,TV-PG
NEs15,TV-MA
NEs16,TV-MA
NEs17,TV-MA
NEs18,TV-MA
NEs19,TV-14
NEs20,TV-MA
NEs21,TV-14
NEs22,TV-14
NEs23,TV-PG
NEs24,TV-Y
NEs25,TV-14
NEs26,TV-14
NEs27,TV-PG
NEs28,PG-13
NEs29,PG-13
NEs30,PG-13
NEs31,TV-14
NEs32,TV-MA
NEs33,TV-MA
NEs34,TV-MA
NEs35,TV-Y7
NEs36,TV-MA
NEs37,TV-MA
NEs38,TV-Y7
NEs39,PG-13
NEs40,TV-Y7
NEs41,TV-Y7
NEs42,PG
NEs43,PG
NEs44,PG
NEs45,PG-13
NEs46,PG
NEs47,R
NEs48,TV-MA
NEs49,R
NEs50,TV-MA
NEs51,TV-PG
NEs52,TV-14
NEs53,TV-14
NEs54,TV-PG
NEs55,TV-PG
NEs56,TV-PG
NEs57,TV-14
NEs58,TV-PG
NEs59,TV-PG
NEs60,TV-PG
NEs61,TV-14
NEs62,TV-PG
NEs63,TV-PG
NEs64,TV-PG
NEs65,TV-PG
NEs66,TV-Y
NEs67,TV-G
NEs68,TV-PG
NEs69,TV-14
NEs70,TV-PG
NEs71,TV-MA
NEs72,TV-Y
NEs73,TV-MA
NEs74,TV-MA
NEs75,TV-PG
NEs76,TV-G
NEs77,TV-14
NEs78,TV-Y7
NEs79,TV-14
NEs80,TV-14
NEs81,TV-Y7
NEs82,R
NEs83,TV-14
NEs84,TV-MA
NEs85,TV-MA
NEs86,TV-Y7
NEs87,TV-MA
NEs88,TV-Y
NEs89,PG-13
NEs90,TV-Y7
NEs91,TV-MA
NEs92,TV-14
NEs93,TV-MA
NEs94,TV-MA
NEs95,PG
NEs96,TV-MA
NEs97,TV-MA
NEs98,TV-Y7
NEs99,TV-Y
NEs100,TV-MA
NEs101,TV-Y7
NEs102,TV-MA
NEs103,TV-14
NEs104,TV-MA
NEs105,TV-Y
NEs106,TV-14
NEs107,TV-G
NEs108,G
NEs109,TV-G
NEs110,TV-MA
NEs111,TV-MA
NEs112,TV-Y
NEs113,PG-13
NEs114,TV-PG
NEs115,TV-14
NEs116,PG
NEs117,TV-PG
NEs118,PG-13
NEs119,TV-14
NEs120,TV-MA
NEs121,TV-Y7
NEs122,TV-14
NEs123,R
NEs124,TV-Y7
NEs125,TV-Y7
NEs126,TV-MA
NEs127,TV-14
NEs128,PG
NEs129,PG-13
NEs130,PG-13
NEs131,TV-Y
NEs132,R
NEs133,TV-MA
NEs134,R
NEs135,PG-13
NEs136,R
NEs137,R
NEs138,PG
NEs139,PG-13
NEs140,R
NEs141,TV-MA
NEs142,R
NEs143,PG-13
NEs144,PG-13
NEs145,R
NEs146,R
NEs147,R
NEs148,TV-PG
NEs149,TV-14
NEs150,R
NEs151,R
NEs152,TV-14
NEs153,TV-MA
NEs154,TV-Y
NEs155,TV-MA
NEs156,PG
NEs157,PG
NEs158,TV-14
NEs159,PG-13
NEs160,TV-MA
NEs161,TV-PG
NEs162,PG-13
NEs163,PG-13
NEs164,R
NEs165,PG-13
NEs166,TV-MA
NEs167,R
NEs168,PG
NEs169,PG
NEs170,PG-13
NEs171,R
NEs172,PG-13
NEs173,PG-13
NEs174,PG-13
NEs175,R
NEs176,R
NEs177,PG-13
NEs178,TV-14
NEs179,R
NEs180,PG-13
NEs181,PG-13
NEs182,TV-14
NEs183,PG-13
NEs184,R
NEs185,TV-PG
NEs186,TV-MA
NEs187,TV-14
NEs188,TV-G
NEs189,TV-MA
NEs190,TV-Y
NEs191,TV-14
NEs192,R
NEs193,TV-14
NEs194,TV-MA
NEs195,TV-MA
NEs196,TV-14
NEs197,TV-14
NEs198,TV-Y7
NEs199,TV-MA
NEs200,TV-14
NEs201,TV-14
NEs202,TV-14
NEs203,TV-MA
NEs204,TV-MA
NEs205,TV-MA
NEs206,TV-14
NEs207,TV-MA
NEs208,TV-14
NEs209,TV-14
NEs210,TV-14
NEs211,TV-MA
NEs212,TV-MA
NEs213,TV-MA
NEs214,TV-PG
NEs215,R
NEs216,TV-MA
NEs217,TV-14
NEs218,TV-14
NEs219,TV-14
NEs220,TV-14
NEs221,TV-PG
NEs222,TV-14
NEs223,TV-MA
NEs224,TV-MA
NEs225,TV-14
NEs226,TV-MA
NEs227,TV-MA
NEs228,TV-MA
NEs229,R
NEs230,TV-MA
NEs231,TV-MA
NEs232,PG
NEs233,TV-G
NEs234,TV-MA
NEs235,TV-Y
NEs236,TV-PG
NEs237,TV-14
NEs238,TV-14
NEs239,TV-14
NEs240,TV-14
NEs241,TV-MA
NEs242,TV-14
NEs243,TV-MA
NEs244,TV-MA
NEs245,TV-14
NEs246,TV-PG
NEs247,TV-MA
NEs248,R
NEs249,TV-MA
NEs250,TV-Y7
NEs251,TV-PG
NEs252,PG-13
NEs253,TV-MA
NEs254,TV-14
NEs255,TV-Y
NEs256,TV-MA
NEs257,TV-14
NEs258,TV-14
NEs259,TV-MA
NEs260,TV-PG
NEs261,TV-MA
NEs262,TV-14
NEs263,TV-MA
NEs264,TV-Y
NEs265,R
NEs266,TV-14
NEs267,TV-MA
NEs268,R
NEs269,TV-MA
NEs270,TV-Y7
NEs271,TV-MA
NEs272,TV-MA
NEs273,TV-Y7
NEs274,TV-MA
NEs275,TV-MA
NEs276,TV-MA
NEs277,TV-MA
NEs278,TV-14
NEs279,TV-MA
NEs280,TV-PG
NEs281,TV-PG
NEs282,TV-14
NEs283,TV-MA
NEs284,PG-13
NEs285,TV-14
NEs286,R
NEs287,TV-Y
NEs288,TV-14
NEs289,TV-MA
NEs290,TV-14
NEs291,TV-MA
NEs292,TV-14
NEs293,PG-13
NEs294,TV-MA
NEs295,TV-PG
NEs296,PG-13
NEs297,TV-MA
NEs298,TV-MA
NEs299,TV-MA
NEs300,TV-14
NEs301,PG
NEs302,TV-14
NEs303,TV-MA
NEs304,TV-MA
NEs305,TV-14
NEs306,TV-MA
NEs307,TV-PG
NEs308,TV-MA
NEs309,TV-MA
NEs310,TV-PG
NEs311,TV-MA
NEs312,TV-MA
NEs313,TV-MA
NEs314,TV-14
NEs315,R
NEs316,TV-MA
NEs317,TV-14
NEs318,PG-13
NEs319,TV-MA
NEs320,TV-14
NEs321,TV-PG
NEs322,TV-14
NEs323,TV-MA
NEs324,TV-14
NEs325,TV-Y7
NEs326,PG
NEs327,PG
NEs328,PG-13
NEs329,R
NEs330,PG-13
NEs331,PG
NEs332,TV-MA
NEs333,R
NEs334,PG-13
NEs335,PG-13
NEs336,R
NEs337,TV-14
NEs338,R
NEs339,TV-14
NEs340,TV-14
NEs341,PG-13
NEs342,R
NEs343,PG-13
NEs344,PG-13
NEs345,PG
NEs346,PG
NEs347,R
NEs348,PG
NEs349,PG-13
NEs350,PG-13
NEs351,PG-13
NEs352,R
NEs353,R
NEs354,R
NEs355,R
NEs356,R
NEs357,PG-13
NEs358,R
NEs359,PG-13
NEs360,R
NEs361,PG-13
NEs362,TV-14
NEs363,TV-14
NEs364,R
NEs365,TV-Y7
NEs366,TV-14
NEs367,TV-14
NEs368,TV-14
NEs369,TV-14
NEs370,TV-14
NEs371,TV-MA
NEs372,TV-14
NEs373,TV-MA
NEs374,TV-MA
NEs375,TV-PG
NEs376,TV-14
NEs377,TV-Y7
NEs378,TV-MA
NEs379,TV-14
NEs380,TV-MA
NEs381,TV-14
NEs382,TV-MA
NEs383,TV-14
NEs384,TV-MA
NEs385,TV-14
NEs386,TV-MA
NEs387,TV-Y
NEs388,TV-14
NEs389,TV-MA
NEs390,TV-MA
NEs391,TV-MA
NEs392,TV-MA
NEs393,R
NEs394,PG
NEs395,TV-MA
NEs396,TV-MA
NEs397,TV-MA
NEs398,TV-MA
NEs399,TV-MA
NEs400,TV-PG
NEs401,TV-PG
NEs402,TV-MA
NEs403,TV-MA
NEs404,TV-MA
NEs405,TV-MA
NEs406,TV-Y
NEs407,TV-Y7
NEs408,TV-Y7
NEs409,TV-Y7
NEs410,TV-Y7
NEs411,TV-Y7
NEs412,TV-Y7
NEs413,TV-Y7
NEs414,TV-Y7
NEs415,TV-Y7
NEs416,TV-Y7
NEs417,TV-Y7
NEs418,TV-Y7
NEs419,TV-Y
NEs420,TV-Y7
NEs421,TV-Y7
NEs422,TV-Y7
NEs423,TV-Y7
NEs424,TV-Y7
NEs425,TV-Y7
NEs426,TV-14
NEs427,TV-MA
NEs428,TV-14
NEs429,TV-G
NEs430,TV-14
NEs431,TV-14
NEs432,TV-MA
NEs433,TV-Y7
NEs434,TV-MA
NEs435,TV-MA
NEs436,TV-MA
NEs437,TV-14
NEs438,R
NEs439,TV-PG
NEs440,TV-MA
NEs441,TV-MA
NEs442,R
NEs443,TV-Y7
NEs444,R
NEs445,TV-14
NEs446,R
NEs447,PG-13
NEs448,PG-13
NEs449,PG-13
NEs450,PG-13
NEs451,PG-13
NEs452,PG-13
NEs453,TV-PG
NEs454,TV-MA
NEs455,TV-MA
NEs456,TV-MA
NEs457,TV-14
NEs458,TV-PG
NEs459,TV-14
NEs460,TV-14
NEs461,PG
NEs462,TV-14
NEs463,TV-MA
NEs464,TV-MA
NEs465,R
NEs466,TV-MA
NEs467,TV-MA
NEs468,TV-MA
NEs469,TV-MA
NEs470,TV-MA
NEs471,TV-14
NEs472,TV-PG
NEs473,TV-Y
NEs474,TV-MA
NEs475,R
NEs476,TV-MA
NEs477,TV-MA
NEs478,TV-14
NEs479,TV-MA
NEs480,R
NEs481,TV-14
NEs482,TV-MA
NEs483,TV-MA
NEs484,TV-MA
NEs485,TV-G
NEs486,TV-14
NEs487,PG
NEs488,TV-MA
NEs489,TV-14
NEs490,TV-14
NEs491,TV-MA
NEs492,PG-13
NEs493,PG-13
NEs494,TV-MA
NEs495,R
NEs496,TV-MA
NEs497,PG-13
NEs498,TV-14
NEs499,TV-MA
NEs500,TV-PG
NEs501,TV-MA
NEs502,TV-MA
NEs503,TV-14
NEs504,TV-MA
NEs505,TV-MA
NEs506,TV-PG
NEs507,TV-G
NEs508,TV-14
NEs509,TV-MA
NEs510,TV-Y
NEs511,TV-14
NEs512,TV-MA
NEs513,TV-Y7
NEs514,TV-14
NEs515,TV-MA
NEs516,TV-MA
NEs517,TV-MA
NEs518,TV-14
NEs519,TV-14
NEs520,TV-MA
NEs521,TV-MA
NEs522,TV-MA
NEs523,TV-Y7
NEs524,TV-MA
NEs525,TV-MA
NEs526,TV-Y
NEs527,TV-MA
NEs528,TV-Y
NEs529,TV-14
NEs530,TV-MA
NEs531,TV-G
NEs532,TV-PG
NEs533,TV-MA
NEs534,TV-14
NEs535,TV-G
NEs536,TV-Y
NEs537,TV-14
NEs538,TV-14
NEs539,TV-PG
NEs540,TV-PG
NEs541,TV-G
NEs542,TV-14
NEs543,TV-14
NEs544,TV-MA
NEs545,TV-MA
NEs546,TV-Y
NEs547,TV-14
NEs548,TV-Y7
NEs549,TV-14
NEs550,TV-14
NEs551,R
NEs552,TV-MA
NEs553,TV-MA
NEs554,TV-MA
NEs555,TV-MA
NEs556,R
NEs557,TV-14
NEs558,PG-13
NEs559,R
NEs560,R
NEs561,PG-13
NEs562,PG-13
NEs563,PG-13
NEs564,PG-13
NEs565,R
NEs566,TV-G
NEs567,PG-13
NEs568,PG-13
NEs569,PG
NEs570,TV-14
NEs571,TV-14
